,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,HTGDBG,HTGDAG,ATGDBG,ATGDAG,HTPBG,HTPAG,ATPBG,ATPAG,RATIO,CC,GO
121,17/11/12,Brest,Bastia,3,0,H,2.5,3.1,2.9,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
122,17/11/12,Evian Thonon Gaillard,St Etienne,2,2,D,3.6,3.2,2.1,-200,-200,13,13,-200,-200,21,22,-200.0,20,False
123,17/11/12,Paris SG,Rennes,1,2,A,1.55,3.8,6.5,10,9,1,2,23,23,19,22,6.25,20,False
124,17/11/12,Troyes,Nancy,3,3,D,2.38,3.0,3.25,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
125,17/11/12,Valenciennes,Montpellier,1,1,D,2.1,3.25,3.6,-200,-200,0,0,-200,-200,13,14,-200.0,20,False
126,18/11/12,Bordeaux,Marseille,1,0,H,2.3,3.1,3.25,7,8,6,5,21,24,23,23,-0.6500000000000001,20,False
127,18/11/12,Lyon,Reims,3,0,H,1.4,4.33,8.5,9,12,2,-1,22,25,15,15,7.0,20,False
128,18/11/12,Nice,Toulouse,1,0,H,2.63,3.0,2.88,-2,-1,5,4,13,16,19,19,-6.45,20,False
129,23/11/12,St Etienne,Valenciennes,1,0,H,1.8,3.5,4.5,13,14,-200,-200,22,25,-200,-200,-200.0,20,False
130,24/11/12,Bastia,Lorient,2,1,H,2.4,3.3,2.9,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
131,24/11/12,Nancy,Ajaccio,1,1,D,2.3,3.1,3.3,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
132,24/11/12,Paris SG,Troyes,4,0,H,1.18,6.5,15.0,9,13,-200,-200,23,26,-200,-200,-200.0,20,False
133,24/11/12,Reims,Brest,0,0,D,2.1,3.1,3.75,-1,-1,-200,-200,15,16,-200,-200,-200.0,20,False
134,24/11/12,Rennes,Evian Thonon Gaillard,0,1,A,1.67,3.6,5.5,2,1,-200,-200,22,22,-200,-200,-200.0,20,False
135,24/11/12,Sochaux,Nice,0,1,A,2.38,3.1,3.1,-200,-200,-1,0,-200,-200,16,19,-200.0,20,False
136,25/11/12,Marseille,Lille,1,0,H,2.3,3.1,3.3,5,6,2,1,23,26,20,20,3.0,20,False
137,25/11/12,Montpellier,Bordeaux,1,0,H,2.4,3.0,3.2,0,1,8,7,14,17,24,24,-9.1,20,False
138,25/11/12,Toulouse,Lyon,3,0,H,2.5,3.1,2.9,4,7,12,9,19,22,25,25,-6.9,20,False
139,28/11/12,Marseille,Lyon,1,4,A,2.2,3.2,3.4,6,3,9,12,26,26,25,28,-0.8,20,False
140,30/11/12,Ajaccio,St Etienne,0,0,D,3.1,3.1,2.4,-200,-200,14,14,-200,-200,25,26,-200.0,20,False
141,01/12/12,Bordeaux,Sochaux,2,2,D,1.44,4.2,7.5,7,7,-200,-200,24,25,-200,-200,-200.0,20,False
142,01/12/12,Evian Thonon Gaillard,Nancy,1,1,D,2.1,3.2,3.6,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
143,01/12/12,Lille,Bastia,0,0,D,1.4,4.5,8.0,1,1,-200,-200,20,21,-200,-200,-200.0,20,False
144,01/12/12,Lyon,Montpellier,1,0,H,1.83,3.4,4.5,12,13,1,0,28,31,17,17,11.0,20,False
145,01/12/12,Nice,Paris SG,2,1,H,4.75,3.4,1.8,0,1,13,12,19,22,26,26,-9.700000000000001,20,False
146,01/12/12,Valenciennes,Reims,1,0,H,1.62,3.75,5.5,-200,-200,-1,-2,-200,-200,16,16,-200.0,20,False
147,02/12/12,Brest,Marseille,1,2,A,3.25,3.2,2.25,-200,-200,3,4,-200,-200,26,29,-200.0,20,False
148,02/12/12,Lorient,Toulouse,1,0,H,2.4,3.2,3.0,-200,-200,7,6,-200,-200,22,22,-200.0,20,False
149,02/12/12,Troyes,Rennes,2,3,A,3.6,3.2,2.1,-200,-200,1,2,-200,-200,22,25,-200.0,20,False
150,07/12/12,Toulouse,Bastia,0,0,D,1.65,3.6,5.5,6,6,-200,-200,22,23,-200,-200,-200.0,20,False
