,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,HTGDBG,HTGDAG,ATGDBG,ATGDAG,HTPBG,HTPAG,ATPBG,ATPAG
142,30/11/13,Lorient,Nice,3.0,0.0,H,2.0,3.1,4.2,-8.0,-5.0,-3.0,-6.0,14.0,17.0,17.0,17.0
143,30/11/13,Monaco,Rennes,2.0,0.0,H,1.53,4.0,6.0,11.0,13.0,3.0,1.0,29.0,32.0,18.0,18.0
144,30/11/13,St Etienne,Reims,4.0,0.0,H,1.62,3.75,5.5,2.0,6.0,0.0,-4.0,21.0,24.0,19.0,19.0
145,30/11/13,Toulouse,Sochaux,5.0,1.0,H,1.73,3.5,5.0,-9.0,-5.0,-13.0,-17.0,16.0,19.0,8.0,8.0
146,30/11/13,Valenciennes,Lille,0.0,1.0,A,3.6,3.2,2.1,-9.0,-10.0,12.0,13.0,10.0,10.0,30.0,33.0
147,01/12/13,Bastia,Evian Thonon Gaillard,2.0,0.0,H,2.0,3.1,4.2,-4.0,-2.0,-10.0,-12.0,19.0,22.0,16.0,16.0
148,01/12/13,Bordeaux,Ajaccio,4.0,0.0,H,1.44,4.0,8.0,-1.0,3.0,-12.0,-16.0,18.0,21.0,8.0,8.0
149,01/12/13,Paris SG,Lyon,4.0,0.0,H,1.36,4.75,8.5,22.0,26.0,3.0,-1.0,34.0,37.0,19.0,19.0
150,03/12/13,Lille,Marseille,1.0,0.0,H,2.0,3.25,3.9,13.0,14.0,9.0,8.0,33.0,36.0,27.0,27.0
151,03/12/13,Nantes,Valenciennes,2.0,1.0,H,1.73,3.4,5.25,7.0,8.0,-10.0,-11.0,23.0,26.0,10.0,10.0
152,03/12/13,Nice,Monaco,0.0,3.0,A,4.75,3.4,1.8,-6.0,-9.0,13.0,16.0,17.0,17.0,32.0,35.0
153,04/12/13,Ajaccio,Bastia,1.0,1.0,D,3.5,3.1,2.2,-16.0,-16.0,-2.0,-2.0,8.0,9.0,22.0,23.0
154,04/12/13,Evian Thonon Gaillard,Paris SG,2.0,0.0,H,8.5,5.0,1.33,-12.0,-10.0,26.0,24.0,16.0,19.0,37.0,37.0
155,04/12/13,Guingamp,Bordeaux,0.0,1.0,A,2.5,3.0,3.0,3.0,2.0,3.0,4.0,22.0,22.0,21.0,24.0
156,04/12/13,Montpellier,Lorient,0.0,2.0,A,1.91,3.3,4.2,-3.0,-5.0,-5.0,-3.0,15.0,15.0,17.0,20.0
157,04/12/13,Rennes,St Etienne,3.0,1.0,H,2.88,3.0,2.6,1.0,3.0,6.0,4.0,18.0,21.0,24.0,24.0
158,04/12/13,Sochaux,Reims,0.0,2.0,A,2.1,3.2,3.6,-17.0,-19.0,-4.0,-2.0,8.0,8.0,19.0,22.0
159,05/12/13,Lyon,Toulouse,1.0,1.0,D,1.83,3.2,4.75,-1.0,-1.0,-5.0,-5.0,19.0,20.0,19.0,20.0
160,06/12/13,Marseille,Nantes,0.0,1.0,A,1.85,3.3,4.5,8.0,7.0,8.0,9.0,27.0,27.0,26.0,29.0
161,07/12/13,Lorient,Rennes,2.0,0.0,H,2.1,3.2,3.6,-3.0,-1.0,3.0,1.0,20.0,23.0,21.0,21.0
162,07/12/13,Paris SG,Sochaux,5.0,0.0,H,1.11,8.5,21.0,24.0,29.0,-19.0,-24.0,37.0,40.0,8.0,8.0
163,07/12/13,Reims,Nice,1.0,0.0,H,2.2,3.2,3.4,-2.0,-1.0,-9.0,-10.0,22.0,25.0,17.0,17.0
